"Relative Time","Hits"
"00:00","0"
"00:04","0.25"
"00:08","9.75"
"00:12","1.25"
"00:16","5.5"
"00:20","1.25"
"00:24","0"
"00:28","0"
"00:32","0"
"00:36","0.5"
"00:40","0.25"
"00:44","1.75"
"00:48","1.75"
"00:52","1.75"
"00:56","0"
"01:00","0"
"01:04","0.5"
"01:08","1.25"
"01:12","1.25"
"01:16","2.5"
"01:20","1"
"01:24","1.5"
"01:28","0.25"
"01:32","2.25"
"01:36","1.25"
"01:40","1.25"
"01:44","0"
"01:48","0.5"
"01:52","0.25"
"01:56","0"
"02:00","0"
"02:04","0"
"02:08","0"
"02:12","0"
"02:16","0"
"02:20","0"
"02:24","0"
"02:28","0"
"02:32","0"
"02:36","0"
"02:40","0"
"02:44","0"
"02:48","0"
"02:52","0"
"02:56","0"
"03:00","0"
"03:04","0"
"03:08","0"
"03:12","0"
"03:16","0.5"
"03:20","0"
"03:24","1"
