"Relative Time","Throughput"
"00:00","0"
"00:04","0"
"00:08","320505"
"00:12","201711.5"
"00:16","361758.8"
"00:20","201917.3"
"00:24","0"
"00:28","0"
"00:32","0"
"00:36","310"
"00:40","155"
"00:44","6287.75"
"00:48","6293.75"
"00:52","6288.75"
"00:56","0"
"01:00","0"
"01:04","0"
"01:08","2265.25"
"01:12","2260.25"
"01:16","2259.25"
"01:20","1288.5"
"01:24","1336.75"
"01:28","1350"
"01:32","0"
"01:36","2563"
"01:40","1246.25"
"01:44","1248.25"
"01:48","437"
"01:52","218.5"
"01:56","0"
"02:00","0"
"02:04","0"
"02:08","0"
"02:12","0"
"02:16","0"
"02:20","0"
"02:24","0"
"02:28","0"
"02:32","0"
"02:36","0"
"02:40","0"
"02:44","0"
"02:48","0"
"02:52","0"
"02:56","0"
"03:00","0"
"03:04","0"
"03:08","0"
"03:12","0"
"03:16","63.5"
"03:20","0"
"03:24","127"
